state,k,neg_schmidt,neg_pt,diff,time_schmidt_ms,time_pt_s
GHZ (N=10),2,0.4999999999999998,0.4999999999999998,0.0,0.047206878662109375,0.13199400901794434
GHZ (N=10),3,0.4999999999999998,0.4999999999999998,0.0,0.031948089599609375,0.07935094833374023
GHZ (N=10),4,0.4999999999999998,0.4999999999999998,0.0,0.027894973754882812,0.09893989562988281
GHZ (N=10),5,0.4999999999999998,0.4999999999999998,0.0,0.033855438232421875,0.10243606567382812
GHZ (N=10),6,0.4999999999999998,0.4999999999999998,0.0,0.03504753112792969,0.08623003959655762
GHZ (N=10),7,0.4999999999999998,0.4999999999999998,0.0,0.030994415283203125,0.08938288688659668
GHZ (N=10),8,0.4999999999999998,0.4999999999999998,0.0,0.03910064697265625,0.0960838794708252
GHZ (N=10),9,0.4999999999999998,0.4999999999999998,0.0,0.029802322387695312,0.0903170108795166
W (N=10),1,0.30000000000000004,0.30000000000000004,0.0,0.03910064697265625,0.1129448413848877
W (N=10),2,0.4,0.4,0.0,0.03910064697265625,0.11081480979919434
W (N=10),3,0.45825756949558427,0.45825756949558416,1.1102230246251565e-16,0.04506111145019531,0.09359884262084961
W (N=10),4,0.4898979485566358,0.4898979485566357,1.1102230246251565e-16,0.04100799560546875,0.08587408065795898
W (N=10),5,0.4999999999999998,0.5,2.220446049250313e-16,0.051975250244140625,0.08924603462219238
W (N=10),6,0.4898979485566358,0.48989794855663604,2.220446049250313e-16,0.03886222839355469,0.10057210922241211
W (N=10),7,0.45825756949558394,0.4582575694955855,1.5543122344752192e-15,0.04792213439941406,0.0984489917755127
W (N=10),8,0.4,0.40000000000000036,3.3306690738754696e-16,0.04315376281738281,0.10138297080993652
W (N=10),9,0.30000000000000004,0.30000000000000004,0.0,0.04696846008300781,0.10884714126586914
Dicke k=N/2 (N=10),1,0.4999999999999998,0.500000000000012,1.2212453270876722e-14,0.030040740966796875,0.08852100372314453
Dicke k=N/2 (N=10),2,0.9249505911485281,0.9249505911485421,1.3988810110276972e-14,0.03981590270996094,0.10736489295959473
Dicke k=N/2 (N=10),3,1.2453559924999307,1.2453559924999416,1.0880185641326534e-14,0.051975250244140625,0.09591293334960938
Dicke k=N/2 (N=10),4,1.4494679475746315,1.449467947574645,1.354472090042691e-14,0.08988380432128906,0.11040401458740234
Dicke k=N/2 (N=10),5,1.5317460317460312,1.5317460317460418,1.0658141036401503e-14,0.1049041748046875,0.10045504570007324
Dicke k=N/2 (N=10),6,1.449467947574632,1.4494679475746384,6.439293542825908e-15,0.06890296936035156,0.10133504867553711
Dicke k=N/2 (N=10),7,1.2453559924999293,1.2453559924999342,4.884981308350689e-15,0.051975250244140625,0.12462496757507324
Dicke k=N/2 (N=10),8,0.9249505911485305,0.9249505911485405,9.992007221626409e-15,0.053882598876953125,0.1033029556274414
Dicke k=N/2 (N=10),9,0.4999999999999998,0.5000000000000071,7.327471962526033e-15,0.03695487976074219,0.11374187469482422
Random (N=10),1,0.4985283632346226,0.49852836323463057,7.993605777301127e-15,0.06604194641113281,0.11592698097229004
Random (N=10),2,1.4940295597680142,1.4940295597680198,5.551115123125783e-15,0.05888938903808594,0.12685394287109375
Random (N=10),3,3.437152749522301,3.4371527495223084,7.549516567451064e-15,0.06699562072753906,0.11631011962890625
Random (N=10),4,7.019349223019428,7.019349223019439,1.1546319456101628e-14,0.10609626770019531,0.11345696449279785
Random (N=10),5,11.15367854210889,11.153678542108885,5.329070518200751e-15,0.13399124145507812,0.1106410026550293
Random (N=10),6,6.995854220944615,6.995854220944619,3.552713678800501e-15,0.09799003601074219,0.12264800071716309
Random (N=10),7,3.448261214645041,3.448261214645048,7.105427357601002e-15,0.08487701416015625,0.12669110298156738
Random (N=10),8,1.4936777145301243,1.4936777145301305,6.217248937900877e-15,0.0629425048828125,0.1237339973449707
Random (N=10),9,0.4989522610907976,0.4989522610908058,8.215650382226158e-15,0.05793571472167969,0.1230771541595459
GHZ (N=11),1,0.4999999999999998,0.4999999999999998,0.0,0.03719329833984375,0.565147876739502
GHZ (N=11),2,0.4999999999999998,0.4999999999999998,0.0,0.04291534423828125,0.559791088104248
GHZ (N=11),3,0.4999999999999998,0.4999999999999998,0.0,0.041961669921875,0.569329023361206
GHZ (N=11),4,0.4999999999999998,0.4999999999999998,0.0,0.04291534423828125,0.5580639839172363
GHZ (N=11),5,0.4999999999999998,0.4999999999999998,0.0,0.04696846008300781,0.6667258739471436
GHZ (N=11),6,0.4999999999999998,0.4999999999999998,0.0,0.052928924560546875,0.5826420783996582
GHZ (N=11),7,0.4999999999999998,0.4999999999999998,0.0,0.04601478576660156,0.5793600082397461
GHZ (N=11),8,0.4999999999999998,0.4999999999999998,0.0,0.04506111145019531,0.6190669536590576
GHZ (N=11),9,0.4999999999999998,0.4999999999999998,0.0,0.04506111145019531,0.6317999362945557
GHZ (N=11),10,0.4999999999999998,0.4999999999999998,0.0,0.04696846008300781,0.5983002185821533
W (N=11),1,0.2874797872880347,0.2874797872880347,0.0,0.06699562072753906,0.6192319393157959
W (N=11),2,0.38569460791993493,0.38569460791993515,2.220446049250313e-16,0.051975250244140625,0.618858814239502
W (N=11),3,0.4453617714151231,0.44536177141512345,3.3306690738754696e-16,0.05507469177246094,0.6064090728759766
W (N=11),4,0.48104569292083477,0.4810456929208349,1.1102230246251565e-16,0.05698204040527344,0.7176880836486816
W (N=11),5,0.497929597731969,0.4979295977319693,3.3306690738754696e-16,0.07081031799316406,0.7328050136566162
W (N=11),6,0.4979295977319693,0.4979295977319693,0.0,0.11801719665527344,0.7679009437561035
W (N=11),7,0.48104569292083477,0.4810456929208353,5.551115123125783e-16,0.0820159912109375,0.705543041229248
W (N=11),8,0.44536177141512345,0.44536177141512767,4.218847493575595e-15,0.07104873657226562,0.7294430732727051
W (N=11),9,0.38569460791993493,0.3856946079199375,2.55351295663786e-15,0.0591278076171875,0.7405948638916016
W (N=11),10,0.2874797872880347,0.2874797872880347,0.0,0.05412101745605469,0.7393178939819336
Dicke k=N/2 (N=11),1,0.4979295977319693,0.4979295977319793,9.992007221626409e-15,0.06699562072753906,0.8236079216003418
Dicke k=N/2 (N=11),2,0.9232938222763833,0.9232938222764149,3.1530333899354446e-14,0.052928924560546875,0.6786160469055176
Dicke k=N/2 (N=11),3,1.2513699991834333,1.251369999183459,2.5757174171303632e-14,0.06914138793945312,0.6734089851379395
Dicke k=N/2 (N=11),4,1.4748304605962055,1.4748304605962255,1.9984014443252818e-14,0.09393692016601562,0.7043321132659912
Dicke k=N/2 (N=11),5,1.593005708595228,1.5930057085952418,1.3766765505351941e-14,0.1430511474609375,0.6815237998962402
Dicke k=N/2 (N=11),6,1.593005708595228,1.5930057085952423,1.4210854715202004e-14,0.15997886657714844,0.9019820690155029
